"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"335";"4. Rosenberger known";"4. Rosenberger known";56;562;18;544;136;864
"336";"5. Optimal adjusted";"5. Optimal adjusted";56;409;99;310;526;474
"337";"1. Random";"1. Random";57;404;105;299;506;494
"338";"6. Biased  coin";"6. Biased  coin";57;419;109;310;500;501
"339";"2. Neyman known";"2. Neyman known";57;419;92;327;456;544
"340";"3. RSIHR Known";"3. RSIHR Known";57;451;81;370;375;625
"341";"4. Rosenberger known";"4. Rosenberger known";57;560;31;529;145;855
"342";"5. Optimal adjusted";"5. Optimal adjusted";57;408;127;281;544;456
"343";"1. Random";"1. Random";58;376;92;284;504;496
"344";"6. Biased  coin";"6. Biased  coin";58;408;106;302;500;500
"345";"2. Neyman known";"2. Neyman known";58;405;81;324;454;546
"346";"3. RSIHR Known";"3. RSIHR Known";58;438;66;372;352;648
"347";"4. Rosenberger known";"4. Rosenberger known";58;521;34;487;167;833
"348";"5. Optimal adjusted";"5. Optimal adjusted";58;377;89;288;540;460
"349";"1. Random";"1. Random";59;429;87;342;476;524
"350";"6. Biased  coin";"6. Biased  coin";59;432;110;322;500;500
"351";"2. Neyman known";"2. Neyman known";59;428;90;338;482;518
"352";"3. RSIHR Known";"3. RSIHR Known";59;491;66;425;343;657
"353";"4. Rosenberger known";"4. Rosenberger known";59;588;27;561;124;876
"354";"5. Optimal adjusted";"5. Optimal adjusted";59;423;94;329;500;500
"355";"1. Random";"1. Random";60;384;98;286;509;491
"356";"6. Biased  coin";"6. Biased  coin";60;386;95;291;501;500
"357";"2. Neyman known";"2. Neyman known";60;426;95;331;461;539
"358";"3. RSIHR Known";"3. RSIHR Known";60;461;79;382;371;629
"359";"4. Rosenberger known";"4. Rosenberger known";60;527;25;502;150;850
"360";"5. Optimal adjusted";"5. Optimal adjusted";60;375;105;270;520;480
"361";"1. Random";"1. Random";61;429;104;325;488;512
"362";"6. Biased  coin";"6. Biased  coin";61;397;93;304;502;499
"363";"2. Neyman known";"2. Neyman known";61;430;78;352;428;572
"364";"3. RSIHR Known";"3. RSIHR Known";61;478;75;403;359;641
"365";"4. Rosenberger known";"4. Rosenberger known";61;578;28;550;145;855
"366";"5. Optimal adjusted";"5. Optimal adjusted";61;394;93;301;514;486
"367";"1. Random";"1. Random";62;408;96;312;494;506
"368";"6. Biased  coin";"6. Biased  coin";62;402;101;301;501;500
"369";"2. Neyman known";"2. Neyman known";62;421;83;338;450;550
"370";"3. RSIHR Known";"3. RSIHR Known";62;470;70;400;357;643
"371";"4. Rosenberger known";"4. Rosenberger known";62;576;24;552;122;878
"372";"5. Optimal adjusted";"5. Optimal adjusted";62;400;104;296;529;471
"373";"1. Random";"1. Random";63;432;91;341;466;534
"374";"6. Biased  coin";"6. Biased  coin";63;405;102;303;500;500
"375";"2. Neyman known";"2. Neyman known";63;422;87;335;477;523
"376";"3. RSIHR Known";"3. RSIHR Known";63;451;67;384;372;628
"377";"4. Rosenberger known";"4. Rosenberger known";63;558;32;526;153;847
"378";"5. Optimal adjusted";"5. Optimal adjusted";63;381;111;270;565;435
"379";"1. Random";"1. Random";64;413;100;313;491;509
"380";"6. Biased  coin";"6. Biased  coin";64;424;106;318;504;499
"381";"2. Neyman known";"2. Neyman known";64;439;88;351;448;552
"382";"3. RSIHR Known";"3. RSIHR Known";64;463;71;392;365;635
"383";"4. Rosenberger known";"4. Rosenberger known";64;569;24;545;132;868
"384";"5. Optimal adjusted";"5. Optimal adjusted";64;414;115;299;541;459
"385";"1. Random";"1. Random";65;406;97;309;503;497
"386";"6. Biased  coin";"6. Biased  coin";65;403;104;299;500;500
"387";"2. Neyman known";"2. Neyman known";65;420;89;331;458;542
"388";"3. RSIHR Known";"3. RSIHR Known";65;450;71;379;370;630
"389";"4. Rosenberger known";"4. Rosenberger known";65;553;27;526;136;864
"390";"5. Optimal adjusted";"5. Optimal adjusted";65;401;105;296;522;478
"391";"1. Random";"1. Random";66;385;104;281;509;491
"392";"6. Biased  coin";"6. Biased  coin";66;395;107;288;504;500
"393";"2. Neyman known";"2. Neyman known";66;414;90;324;437;563
"394";"3. RSIHR Known";"3. RSIHR Known";66;430;78;352;379;621
