"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"612";"5. Optimal adjusted";387;119;268;545;455
"613";"1. Random";390;97;293;517;483
"614";"6. Biased  coin";399;100;299;498;502
"615";"2. Neyman known";413;90;323;469;531
"616";"3. RSIHR Known";442;59;383;350;650
"617";"4. Rosenberger known";539;33;506;166;834
"618";"5. Optimal adjusted";376;110;266;553;447
"619";"1. Random";392;99;293;516;484
"620";"6. Biased  coin";389;96;293;501;501
"621";"2. Neyman known";412;91;321;471;529
"622";"3. RSIHR Known";446;66;380;357;643
"623";"4. Rosenberger known";543;34;509;145;855
"624";"5. Optimal adjusted";397;112;285;519;481
"625";"1. Random";411;100;311;479;521
"626";"6. Biased  coin";403;103;300;501;499
"627";"2. Neyman known";407;101;306;463;537
"628";"3. RSIHR Known";460;81;379;369;631
"629";"4. Rosenberger known";527;28;499;145;855
"630";"5. Optimal adjusted";385;104;281;517;483
"631";"1. Random";403;103;300;498;502
"632";"6. Biased  coin";391;111;280;500;500
"633";"2. Neyman known";425;94;331;430;570
"634";"3. RSIHR Known";462;80;382;379;621
"635";"4. Rosenberger known";532;29;503;158;842
"636";"5. Optimal adjusted";400;107;293;512;488
"637";"1. Random";424;91;333;468;532
"638";"6. Biased  coin";393;90;303;498;502
"639";"2. Neyman known";416;88;328;451;549
"640";"3. RSIHR Known";453;61;392;349;651
"641";"4. Rosenberger known";551;29;522;127;873
"642";"5. Optimal adjusted";369;112;257;552;448
"643";"1. Random";404;108;296;519;481
"644";"6. Biased  coin";407;106;301;501;500
"645";"2. Neyman known";436;90;346;449;551
"646";"3. RSIHR Known";472;73;399;353;647
"647";"4. Rosenberger known";561;32;529;142;858
"648";"5. Optimal adjusted";403;104;299;535;465
"649";"1. Random";435;109;326;480;520
"650";"6. Biased  coin";420;109;311;500;500
"651";"2. Neyman known";438;100;338;457;543
"652";"3. RSIHR Known";462;67;395;354;646
"653";"4. Rosenberger known";553;32;521;151;849
"654";"5. Optimal adjusted";402;124;278;534;466
"655";"1. Random";412;101;311;491;509
"656";"6. Biased  coin";404;102;302;501;500
"657";"2. Neyman known";426;78;348;425;575
"658";"3. RSIHR Known";449;71;378;374;626
"659";"4. Rosenberger known";530;27;503;156;844
"660";"5. Optimal adjusted";370;82;288;516;484
"661";"1. Random";413;100;313;496;504
"662";"6. Biased  coin";417;104;313;502;499
"663";"2. Neyman known";444;91;353;432;568
"664";"3. RSIHR Known";485;79;406;366;634
"665";"4. Rosenberger known";570;38;532;146;854
"666";"5. Optimal adjusted";415;107;308;526;474
"667";"1. Random";409;103;306;494;506
"668";"6. Biased  coin";396;100;296;499;501
"669";"2. Neyman known";419;83;336;448;552
"670";"3. RSIHR Known";467;81;386;378;622
"671";"4. Rosenberger known";549;22;527;130;870
"672";"5. Optimal adjusted";408;116;292;522;478
"673";"1. Random";402;91;311;482;518
"674";"6. Biased  coin";375;101;274;503;499
"675";"2. Neyman known";411;83;328;439;561
"676";"3. RSIHR Known";431;68;363;362;638
"677";"4. Rosenberger known";498;23;475;157;843
"678";"5. Optimal adjusted";378;104;274;532;468
"679";"1. Random";393;107;286;529;471
"680";"6. Biased  coin";403;95;308;498;502
"681";"2. Neyman known";430;86;344;434;566
"682";"3. RSIHR Known";468;74;394;351;649
"683";"4. Rosenberger known";545;28;517;157;843
"684";"5. Optimal adjusted";406;110;296;509;491
"685";"1. Random";389;105;284;512;488
"686";"6. Biased  coin";404;97;307;502;500
"687";"2. Neyman known";441;100;341;444;556
"688";"3. RSIHR Known";460;84;376;363;637
"689";"4. Rosenberger known";542;27;515;135;865
"690";"5. Optimal adjusted";418;127;291;536;464
"691";"1. Random";391;103;288;504;496
"692";"6. Biased  coin";381;100;281;502;500
"693";"2. Neyman known";397;91;306;467;533
"694";"3. RSIHR Known";440;70;370;376;624
"695";"4. Rosenberger known";525;28;497;144;856
"696";"5. Optimal adjusted";359;110;249;553;447
"697";"1. Random";408;113;295;482;518
"698";"6. Biased  coin";399;113;286;499;501
"699";"2. Neyman known";387;78;309;427;573
"700";"3. RSIHR Known";424;76;348;380;620
"701";"4. Rosenberger known";512;28;484;137;863
"702";"5. Optimal adjusted";372;110;262;524;476
"703";"1. Random";438;89;349;458;542
"704";"6. Biased  coin";385;84;301;499;501
"705";"2. Neyman known";413;87;326;466;534
"706";"3. RSIHR Known";461;64;397;354;646
"707";"4. Rosenberger known";560;30;530;144;856
"708";"5. Optimal adjusted";372;88;284;526;474
"709";"1. Random";415;97;318;499;501
"710";"6. Biased  coin";418;107;311;499;501
"711";"2. Neyman known";440;94;346;438;562
"712";"3. RSIHR Known";474;76;398;352;648
"713";"4. Rosenberger known";569;36;533;146;854
"714";"5. Optimal adjusted";401;108;293;544;456
"715";"1. Random";379;87;292;487;513
"716";"6. Biased  coin";374;95;279;499;501
"717";"2. Neyman known";389;79;310;447;553
"718";"3. RSIHR Known";428;70;358;368;632
"719";"4. Rosenberger known";518;29;489;139;861
"720";"5. Optimal adjusted";379;99;280;520;480
"721";"1. Random";398;99;299;494;506
"722";"6. Biased  coin";383;98;285;502;499
"723";"2. Neyman known";397;93;304;452;548
"724";"3. RSIHR Known";451;67;384;333;667
"725";"4. Rosenberger known";537;38;499;142;858
"726";"5. Optimal adjusted";382;116;266;551;449
"727";"1. Random";389;114;275;490;510
"728";"6. Biased  coin";413;118;295;503;499
"729";"2. Neyman known";408;99;309;459;541
"730";"3. RSIHR Known";434;71;363;363;637
"731";"4. Rosenberger known";517;27;490;144;856
"732";"5. Optimal adjusted";387;114;273;525;475
"733";"1. Random";381;93;288;502;498
"734";"6. Biased  coin";389;91;298;504;497
"735";"2. Neyman known";410;90;320;454;546
"736";"3. RSIHR Known";439;64;375;362;638
"737";"4. Rosenberger known";517;28;489;154;846
"738";"5. Optimal adjusted";378;104;274;511;489
"739";"1. Random";404;99;305;488;512
"740";"6. Biased  coin";397;99;298;500;500
"741";"2. Neyman known";435;85;350;416;584
"742";"3. RSIHR Known";442;69;373;378;622
"743";"4. Rosenberger known";546;37;509;142;858
"744";"5. Optimal adjusted";390;109;281;528;472
"745";"1. Random";422;108;314;484;516
"746";"6. Biased  coin";403;110;293;505;497
"747";"2. Neyman known";423;92;331;431;569
"748";"3. RSIHR Known";457;93;364;375;625
"749";"4. Rosenberger known";543;32;511;146;854
"750";"5. Optimal adjusted";385;122;263;556;444
"751";"1. Random";398;114;284;527;473
"752";"6. Biased  coin";404;107;297;502;499
"753";"2. Neyman known";442;99;343;430;570
"754";"3. RSIHR Known";477;76;401;344;656
"755";"4. Rosenberger known";545;28;517;142;858
"756";"5. Optimal adjusted";391;111;280;523;477
"757";"1. Random";419;108;311;495;505
"758";"6. Biased  coin";399;96;303;501;500
"759";"2. Neyman known";417;78;339;425;575
"760";"3. RSIHR Known";449;63;386;353;647
"761";"4. Rosenberger known";538;24;514;143;857
"762";"5. Optimal adjusted";390;100;290;521;479
"763";"1. Random";392;99;293;488;512
"764";"6. Biased  coin";429;109;320;503;499
"765";"2. Neyman known";416;91;325;466;534
"766";"3. RSIHR Known";448;73;375;376;624
"767";"4. Rosenberger known";527;16;511;124;876
"768";"5. Optimal adjusted";409;116;293;514;486
"769";"1. Random";386;91;295;503;497
"770";"6. Biased  coin";374;86;288;500;500
"771";"2. Neyman known";396;87;309;492;508
"772";"3. RSIHR Known";430;64;366;373;627
"773";"4. Rosenberger known";509;16;493;150;850
"774";"5. Optimal adjusted";357;95;262;529;471
"775";"1. Random";374;93;281;494;506
"776";"6. Biased  coin";377;88;289;499;501
"777";"2. Neyman known";406;91;315;451;549
"778";"3. RSIHR Known";442;74;368;361;639
"779";"4. Rosenberger known";510;27;483;153;847
"780";"5. Optimal adjusted";363;99;264;530;470
"781";"1. Random";411;112;299;517;483
"782";"6. Biased  coin";424;109;315;504;500
"783";"2. Neyman known";427;88;339;436;564
"784";"3. RSIHR Known";490;89;401;344;656
"785";"4. Rosenberger known";540;25;515;149;851
"786";"5. Optimal adjusted";391;130;261;575;425
"787";"1. Random";413;122;291;516;484
"788";"6. Biased  coin";385;99;286;504;500
"789";"2. Neyman known";422;89;333;407;593
"790";"3. RSIHR Known";460;81;379;361;639
"791";"4. Rosenberger known";528;37;491;164;836
"792";"5. Optimal adjusted";380;97;283;527;473
"793";"1. Random";409;106;303;525;475
"794";"6. Biased  coin";410;100;310;502;500
"795";"2. Neyman known";435;81;354;427;573
"796";"3. RSIHR Known";462;77;385;370;630
"797";"4. Rosenberger known";553;18;535;124;876
"798";"5. Optimal adjusted";380;116;264;558;442
"799";"1. Random";413;126;287;502;498
"800";"6. Biased  coin";397;111;286;499;501
"801";"2. Neyman known";423;100;323;438;562
"802";"3. RSIHR Known";446;90;356;369;631
"803";"4. Rosenberger known";519;32;487;144;856
"804";"5. Optimal adjusted";403;126;277;523;477
"805";"1. Random";396;110;286;522;478
"806";"6. Biased  coin";418;116;302;500;501
"807";"2. Neyman known";435;97;338;461;539
"808";"3. RSIHR Known";470;76;394;367;633
"809";"4. Rosenberger known";555;30;525;135;865
"810";"5. Optimal adjusted";410;120;290;530;470
"811";"1. Random";414;108;306;504;496
"812";"6. Biased  coin";411;107;304;501;499
"813";"2. Neyman known";454;82;372;398;602
"814";"3. RSIHR Known";465;78;387;363;637
"815";"4. Rosenberger known";556;29;527;135;865
"816";"5. Optimal adjusted";387;106;281;539;461
"817";"1. Random";403;100;303;484;516
"818";"6. Biased  coin";377;101;276;500;501
"819";"2. Neyman known";408;94;314;458;542
"820";"3. RSIHR Known";448;76;372;372;628
"821";"4. Rosenberger known";531;32;499;145;855
"822";"5. Optimal adjusted";378;120;258;555;445
"823";"1. Random";414;124;290;524;476
"824";"6. Biased  coin";414;112;302;498;502
"825";"2. Neyman known";432;103;329;449;551
"826";"3. RSIHR Known";487;86;401;347;653
"827";"4. Rosenberger known";554;32;522;148;852
"828";"5. Optimal adjusted";384;118;266;561;439
"829";"1. Random";395;89;306;465;535
"830";"6. Biased  coin";389;98;291;500;500
"831";"2. Neyman known";401;82;319;445;555
"832";"3. RSIHR Known";459;56;403;334;666
"833";"4. Rosenberger known";530;22;508;137;863
"834";"5. Optimal adjusted";377;120;257;550;450
"835";"1. Random";430;113;317;484;516
"836";"6. Biased  coin";406;116;290;500;500
"837";"2. Neyman known";437;104;333;455;545
"838";"3. RSIHR Known";456;88;368;371;629
"839";"4. Rosenberger known";538;24;514;117;883
"840";"5. Optimal adjusted";401;103;298;514;486
"841";"1. Random";416;124;292;521;479
"842";"6. Biased  coin";383;103;280;503;499
"843";"2. Neyman known";447;100;347;434;566
"844";"3. RSIHR Known";430;80;350;384;616
"845";"4. Rosenberger known";535;33;502;157;843
"846";"5. Optimal adjusted";391;121;270;543;457
"847";"1. Random";443;120;323;491;509
"848";"6. Biased  coin";431;121;310;500;500
"849";"2. Neyman known";447;110;337;455;545
"850";"3. RSIHR Known";470;87;383;385;615
"851";"4. Rosenberger known";570;34;536;141;859
"852";"5. Optimal adjusted";394;126;268;554;446
"853";"1. Random";417;103;314;475;525
"854";"6. Biased  coin";405;114;291;499;501
"855";"2. Neyman known";395;88;307;449;551
"856";"3. RSIHR Known";443;95;348;393;607
"857";"4. Rosenberger known";522;31;491;143;857
"858";"5. Optimal adjusted";390;117;273;518;482
"859";"1. Random";404;92;312;493;507
"860";"6. Biased  coin";385;96;289;500;500
"861";"2. Neyman known";430;100;330;444;556
"862";"3. RSIHR Known";452;75;377;356;644
"863";"4. Rosenberger known";535;32;503;150;850
"864";"5. Optimal adjusted";392;118;274;534;466
"865";"1. Random";390;118;272;487;513
"866";"6. Biased  coin";394;108;286;498;502
"867";"2. Neyman known";410;115;295;472;528
"868";"3. RSIHR Known";451;80;371;357;643
"869";"4. Rosenberger known";522;36;486;141;859
"870";"5. Optimal adjusted";390;129;261;551;449
"871";"1. Random";401;111;290;521;479
"872";"6. Biased  coin";432;125;307;502;498
"873";"2. Neyman known";434;117;317;470;530
"874";"3. RSIHR Known";472;79;393;354;646
"875";"4. Rosenberger known";541;28;513;134;866
"876";"5. Optimal adjusted";410;120;290;525;475
"877";"1. Random";430;105;325;485;515
"878";"6. Biased  coin";421;102;319;498;502
"879";"2. Neyman known";412;89;323;467;533
"880";"3. RSIHR Known";462;69;393;374;626
"881";"4. Rosenberger known";553;26;527;141;859
"882";"5. Optimal adjusted";400;100;300;521;479
"883";"1. Random";406;100;306;495;505
"884";"6. Biased  coin";420;104;316;499;501
"885";"2. Neyman known";450;93;357;438;562
"886";"3. RSIHR Known";467;85;382;376;624
"887";"4. Rosenberger known";554;33;521;145;855
"888";"5. Optimal adjusted";393;118;275;542;458
"889";"1. Random";406;108;298;497;503
"890";"6. Biased  coin";394;110;284;503;498
"891";"2. Neyman known";402;93;309;458;542
"892";"3. RSIHR Known";472;79;393;346;654
"893";"4. Rosenberger known";553;31;522;143;857
"894";"5. Optimal adjusted";391;115;276;553;447
"895";"1. Random";399;85;314;485;515
"896";"6. Biased  coin";404;98;306;502;500
"897";"2. Neyman known";421;94;327;457;543
"898";"3. RSIHR Known";452;68;384;372;628
"899";"4. Rosenberger known";548;33;515;142;858
"900";"5. Optimal adjusted";382;99;283;524;476
"901";"1. Random";410;100;310;474;526
"902";"6. Biased  coin";389;101;288;501;500
"903";"2. Neyman known";413;89;324;434;566
"904";"3. RSIHR Known";442;84;358;391;609
"905";"4. Rosenberger known";518;26;492;147;853
"906";"5. Optimal adjusted";372;102;270;543;457
"907";"1. Random";403;97;306;491;509
"908";"6. Biased  coin";408;108;300;501;499
"909";"2. Neyman known";398;96;302;477;523
"910";"3. RSIHR Known";465;68;397;358;642
"911";"4. Rosenberger known";533;24;509;150;850
"912";"5. Optimal adjusted";401;110;291;510;490
"913";"1. Random";402;101;301;494;506
"914";"6. Biased  coin";402;103;299;501;499
"915";"2. Neyman known";418;97;321;452;548
"916";"3. RSIHR Known";456;88;368;384;616
"917";"4. Rosenberger known";551;41;510;159;841
"918";"5. Optimal adjusted";372;92;280;527;473
"919";"1. Random";360;74;286;497;503
"920";"6. Biased  coin";390;88;302;500;500
"921";"2. Neyman known";408;91;317;449;551
"922";"3. RSIHR Known";442;70;372;372;628
"923";"4. Rosenberger known";519;24;495;151;849
"924";"5. Optimal adjusted";376;105;271;548;452
"925";"1. Random";402;99;303;483;517
"926";"6. Biased  coin";381;91;290;499;503
"927";"2. Neyman known";434;103;331;451;549
"928";"3. RSIHR Known";445;74;371;363;637
"929";"4. Rosenberger known";533;29;504;135;865
"930";"5. Optimal adjusted";376;101;275;523;477
"931";"1. Random";365;87;278;504;496
"932";"6. Biased  coin";390;100;290;502;499
"933";"2. Neyman known";397;83;314;446;554
"934";"3. RSIHR Known";435;62;373;349;651
"935";"4. Rosenberger known";530;21;509;120;880
"936";"5. Optimal adjusted";362;96;266;530;470
"937";"1. Random";406;93;313;480;520
"938";"6. Biased  coin";413;110;303;501;500
"939";"2. Neyman known";420;93;327;459;541
"940";"3. RSIHR Known";444;70;374;368;632
"941";"4. Rosenberger known";548;26;522;130;870
"942";"5. Optimal adjusted";392;116;276;546;454
"943";"1. Random";408;88;320;478;522
"944";"6. Biased  coin";391;90;301;499;501
"945";"2. Neyman known";394;84;310;464;536
"946";"3. RSIHR Known";430;74;356;390;610
"947";"4. Rosenberger known";524;33;491;152;848
"948";"5. Optimal adjusted";384;99;285;518;482
"949";"1. Random";406;109;297;507;493
"950";"6. Biased  coin";399;110;289;501;500
"951";"2. Neyman known";399;97;302;470;530
"952";"3. RSIHR Known";455;81;374;358;642
"953";"4. Rosenberger known";550;27;523;126;874
"954";"5. Optimal adjusted";391;109;282;522;478
"955";"1. Random";382;89;293;489;511
"956";"6. Biased  coin";382;98;284;500;500
"957";"2. Neyman known";394;72;322;439;561
"958";"3. RSIHR Known";430;62;368;359;641
"959";"4. Rosenberger known";520;19;501;137;863
"960";"5. Optimal adjusted";366;87;279;525;475
"961";"1. Random";378;79;299;482;518
"962";"6. Biased  coin";371;96;275;500;500
"963";"2. Neyman known";388;93;295;482;518
"964";"3. RSIHR Known";432;60;372;346;654
"965";"4. Rosenberger known";500;25;475;152;848
"966";"5. Optimal adjusted";357;106;251;566;434
"967";"1. Random";387;82;305;499;501
"968";"6. Biased  coin";371;84;287;500;500
"969";"2. Neyman known";403;88;315;453;547
"970";"3. RSIHR Known";445;77;368;384;616
"971";"4. Rosenberger known";532;34;498;155;845
"972";"5. Optimal adjusted";375;110;265;562;438
"973";"1. Random";382;93;289;495;505
"974";"6. Biased  coin";383;94;289;502;499
"975";"2. Neyman known";402;94;308;446;554
"976";"3. RSIHR Known";454;71;383;351;649
"977";"4. Rosenberger known";520;35;485;164;836
"978";"5. Optimal adjusted";387;114;273;530;470
"979";"1. Random";397;116;281;509;491
"980";"6. Biased  coin";408;105;303;501;500
"981";"2. Neyman known";436;92;344;420;580
"982";"3. RSIHR Known";458;83;375;349;651
"983";"4. Rosenberger known";536;31;505;134;866
"984";"5. Optimal adjusted";379;116;263;544;456
"985";"1. Random";443;115;328;476;524
"986";"6. Biased  coin";409;105;304;501;500
"987";"2. Neyman known";453;108;345;430;570
"988";"3. RSIHR Known";452;72;380;345;655
"989";"4. Rosenberger known";552;34;518;133;867
"990";"5. Optimal adjusted";426;140;286;540;460
"991";"1. Random";388;89;299;493;507
"992";"6. Biased  coin";402;112;290;504;500
"993";"2. Neyman known";433;84;349;434;566
"994";"3. RSIHR Known";446;76;370;386;614
"995";"4. Rosenberger known";553;27;526;147;853
"996";"5. Optimal adjusted";393;108;285;551;449
"997";"1. Random";388;105;283;520;480
"998";"6. Biased  coin";390;92;298;502;499
"999";"2. Neyman known";420;94;326;442;558
"1000";"3. RSIHR Known";447;76;371;380;620
"1001";"4. Rosenberger known";521;22;499;146;854
"1002";"5. Optimal adjusted";402;118;284;536;464
"1003";"1. Random";413;109;304;485;515
"1004";"6. Biased  coin";426;115;311;503;500
"1005";"2. Neyman known";439;112;327;457;543
"1006";"3. RSIHR Known";452;76;376;373;627
"1007";"4. Rosenberger known";538;30;508;145;855
"1008";"5. Optimal adjusted";395;101;294;507;493
"1009";"1. Random";397;115;282;519;481
"1010";"6. Biased  coin";404;113;291;500;501
"1011";"2. Neyman known";426;102;324;441;559
"1012";"3. RSIHR Known";442;82;360;393;607
"1013";"4. Rosenberger known";505;26;479;154;846
"1014";"5. Optimal adjusted";354;115;239;564;436
"1015";"1. Random";399;118;281;529;471
"1016";"6. Biased  coin";423;109;314;501;500
"1017";"2. Neyman known";457;99;358;435;565
"1018";"3. RSIHR Known";428;74;354;384;616
"1019";"4. Rosenberger known";552;32;520;145;855
"1020";"5. Optimal adjusted";404;113;291;538;462
"1021";"1. Random";391;88;303;506;494
"1022";"6. Biased  coin";406;101;305;499;501
"1023";"2. Neyman known";396;81;315;478;522
"1024";"3. RSIHR Known";441;74;367;397;603
"1025";"4. Rosenberger known";545;23;522;155;845
"1026";"5. Optimal adjusted";372;93;279;539;461
"1027";"1. Random";405;97;308;504;496
"1028";"6. Biased  coin";418;105;313;499;502
"1029";"2. Neyman known";423;92;331;461;539
"1030";"3. RSIHR Known";451;77;374;377;623
