"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"2308";"3. RSIHR Known";432;66;366;371;629
"2309";"4. Rosenberger known";511;29;482;152;848
"2310";"5. Optimal adjusted";368;103;265;528;472
"2311";"1. Random";383;95;288;508;492
"2312";"6. Biased  coin";390;91;299;501;499
"2313";"2. Neyman known";400;79;321;440;560
"2314";"3. RSIHR Known";438;69;369;354;646
"2315";"4. Rosenberger known";507;22;485;144;856
"2316";"5. Optimal adjusted";372;100;272;534;466
"2317";"1. Random";389;106;283;501;499
"2318";"6. Biased  coin";406;115;291;500;500
"2319";"2. Neyman known";431;110;321;451;549
"2320";"3. RSIHR Known";433;77;356;377;623
"2321";"4. Rosenberger known";521;25;496;137;863
"2322";"5. Optimal adjusted";401;120;281;521;479
"2323";"1. Random";419;107;312;495;505
"2324";"6. Biased  coin";402;107;295;501;499
"2325";"2. Neyman known";418;106;312;483;517
